"Auftragskonto";"Buchungstag";"Valutadatum";"Buchungstext";"Verwendungszweck";"Glaeubiger ID";"Mandatsreferenz";"Kundenreferenz (End-to-End)";"Sammlerreferenz";"Lastschrift Ursprungsbetrag";"Auslagenersatz Ruecklastschrift";"Beguenstigter/Zahlungspflichtiger";"Kontonummer/IBAN";"BIC (SWIFT-Code)";"Betrag";"Waehrung";"Info"
"DE26150505001102615486";"03.10.20";"03.10.20";"LOHN";"Lohn 09/2020";"";"";"000000000/000000";"";"";"";"Unternehmen ABC";"DE55555555555555555555";"BBBBBBBBBBB";"5000,00";"EUR";"Umsatz gebucht"
"DE00000000000000000000";"04.10.20";"04.10.20";"KARTENZAHLUNG";"2020-10-02T07:30";"";"";"11111111111111111111111111";"";"";"";"REWE SAGT DANKE. 22222222/Musterhausen/DE";"DE44444444444444444444";"AAAAAAAAAAA";"-10,00";"EUR";"Umsatz gebucht"
"DE00000000000000000000";"05.10.20";"05.10.20";"KARTENZAHLUNG";"2020-10-03T07:30";"";"";"11111111111111111111111111";"";"";"";"REWE SAGT DANKE. 22222222/Musterhausen/DE";"DE44444444444444444444";"AAAAAAAAAAA";"-20,00";"EUR";"Umsatz gebucht"
"DE00000000000000000000";"06.10.20";"06.10.20";"KARTENZAHLUNG";"2020-10-04T07:30";"";"";"11111111111111111111111111";"";"";"";"REWE SAGT DANKE. 22222222/Musterhausen/DE";"DE44444444444444444444";"AAAAAAAAAAA";"-40,00";"EUR";"Umsatz gebucht"
"DE00000000000000000000";"07.10.20";"07.10.20";"KARTENZAHLUNG";"2020-10-05T07:30";"";"";"11111111111111111111111111";"";"";"";"REWE SAGT DANKE. 22222222/Musterhausen/DE";"DE44444444444444444444";"AAAAAAAAAAA";"-80,00";"EUR";"Umsatz gebucht"
"DE00000000000000000000";"08.10.20";"08.10.20";"KARTENZAHLUNG";"2020-10-06T07:30";"";"";"11111111111111111111111111";"";"";"";"ALDI SAGT DANKE. 22222222/Musterhausen/DE";"DE44444444444444444444";"AAAAAAAAAAA";"-10,00";"EUR";"Umsatz gebucht"
"DE00000000000000000000";"09.10.20";"09.10.20";"KARTENZAHLUNG";"2020-10-07T07:30";"";"";"11111111111111111111111111";"";"";"";"ALDI SAGT DANKE. 22222222/Musterhausen/DE";"DE44444444444444444444";"AAAAAAAAAAA";"-20,00";"EUR";"Umsatz gebucht"
2: "DE26150505001102615486";"03.11.20";"03.11.20";"LOHN";"Lohn 10/2020";"";"";"000000000/000000";"";"";"";"Unternehmen XYZ";"DE55555555555555555555";"BBBBBBBBBBB";"5100,00";"EUR";"Umsatz gebucht"
3: "DE00000000000000000000";"04.11.20";"04.11.20";"KARTENZAHLUNG";"2020-11-02T07:30";"";"";"11111111111111111111111111";"";"";"";"LIDL SAGT DANKE. 33333333/Musterhausen/DE";"DE44444444444444444444";"CCCCCCCCCCC";"-15,00";"EUR";"Umsatz gebucht"
4: "DE00000000000000000000";"05.11.20";"05.11.20";"KARTENZAHLUNG";"2020-11-03T07:30";"";"";"11111111111111111111111111";"";"";"";"LIDL SAGT DANKE. 33333333/Musterhausen/DE";"DE44444444444444444444";"CCCCCCCCCCC";"-25,00";"EUR";"Umsatz gebucht"
